tconst,averagerating,numvotes,directors,writers
tt10356526,8.3,31,nm8353804,"nm3057599,nm4179342"
tt1042974,6.4,20,nm1915232,nm1915232
tt1043726,4.2,50352,nm0001317,"nm0393517,nm0316417,nm0001317,nm1048866"
tt1060240,6.5,21,nm1926349,nm1926349
tt1069246,6.2,326,nm0868643,"nm2726004,nm0140502,nm1523568,nm0868643"
tt1094666,7.0,1613,nm1464150,"nm1670295,nm1559624"
tt1130982,6.4,571,nm1292833,"nm1305724,nm1292833"
tt1156528,7.2,265,nm0121203,nm0121203
tt1161457,4.2,148,nm2874896,nm2874896
tt1171222,5.1,8296,nm0847859,nm0847859
tt1174693,5.8,2381,nm0153774,nm2903680
tt1181840,7.0,5494,"nm0540962,nm1071849",nm0540962
tt1193623,8.0,5,nm1746428,"nm0218725,nm0563248"
tt1199588,5.5,74,nm0736402,nm0736402
tt1210166,7.6,326657,nm0587955,"nm0001873,nm0815070,nm3133181,nm1034122"
tt1212419,6.5,87288,nm0000142,nm0604948
tt1220911,5.0,941,nm0213354,"nm7246799,nm0288263,nm1122337,nm0213354,nm1132407,nm2319782,nm2314530,nm0975322,nm0819522,nm0000359"
tt1229238,7.4,428142,nm0083348,"nm0312367,nm0032227,nm0625858"
tt1232829,7.2,477771,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798"
tt1235548,6.6,2725,nm3017750,"nm1039584,nm3530498,nm1130251"
tt1243974,5.4,54646,nm0001081,nm0001081
tt1250861,6.2,416,nm2359023,"nm2359023,nm0072797"
tt1258812,4.0,21,nm2315511,nm2315511
tt1261945,4.4,69199,nm0455078,"nm0455078,nm0124299,nm0823015"
tt1266037,7.0,1413,nm0304921,"nm3035044,nm0087646,nm0304921,nm0867374"
tt1270291,5.8,5728,nm0004611,"nm1414878,nm0004611"
tt1270761,5.6,44490,nm2552536,"nm0868219,nm0730422,nm0571111"
tt1272886,6.1,6688,nm0959774,nm2411346
tt1274297,5.4,381,nm0224020,"nm0116263,nm0224020,nm0503182"
tt1283887,5.4,2527,nm0484907,nm0484907
tt1285219,3.4,387,nm2509543,nm2509543
tt1290476,7.2,6,nm1205729,nm1842542
tt1294141,4.5,113,"nm0761349,nm0458517",nm0458517
tt1320239,6.2,18431,nm0000484,"nm0039328,nm1319618"
tt1322312,6.3,54421,nm0123379,nm3192484
tt1323962,5.1,101,nm2310557,nm2310557
tt1325014,6.7,4240,nm1465431,nm1465431
tt1325019,7.2,29,nm2761772,nm2761772
tt1326743,8.4,21,nm1099660,"nm0633177,nm1099660"
tt1327602,7.8,8,nm1742311,nm1742311
tt1328913,5.2,738,nm0288055,nm0288055
tt1331329,3.6,1621,nm0093051,nm1725514
tt1332570,2.1,17,nm1547819,"nm1547819,nm1969135"
tt1343110,2.5,345,nm2193710,nm2193710
tt1343740,4.6,495,nm0817878,"nm0300800,nm0282105"
tt1352393,7.7,1293,nm2569082,"nm4677225,nm0077094,nm3939043,nm2569082,nm2571924,nm2661515"
tt1360829,5.0,223,nm1491597,"nm1198562,nm1528013"
tt1368858,5.4,4302,nm2940732,"nm0209856,nm2940732"
tt1374988,6.1,163,nm0755974,nm0755974
tt1376213,5.4,5257,nm0628146,"nm0995597,nm0003953,nm2239151"
tt1379736,5.7,15,nm1509706,"nm1673285,nm1509706"
tt1381418,5.4,6220,nm0373154,nm0373154
tt1400515,3.5,1701,nm1636259,"nm1636259,nm1791384"
tt1403981,7.1,129443,nm0002339,nm3391497
tt1403990,8.5,31,nm3171761,"nm3382902,nm3171761"
tt1404830,5.3,1768,nm1836759,"nm1836759,nm0304629"
tt1409015,8.2,40,nm0047419,nm0047419
tt1417086,7.5,197,nm0705535,nm0705535
tt1418760,6.4,1502,nm0073888,"nm0344498,nm0073888"
tt1420547,6.1,16,nm3427646,"nm3427646,nm1813836,nm1665295"
tt1422020,7.0,10025,nm1320966,"nm3429638,nm1320966"
tt1426379,3.8,9,nm0653083,"nm3436806,nm0502859,nm0653083"
tt1426385,4.9,19,nm0815738,"nm1779932,nm3436421,nm0815738"
tt1428464,6.4,227,nm1764630,"nm2464571,nm2470510,nm1764630"
tt1438493,6.3,86,nm0135724,nm0135724
tt1443518,5.5,297,nm1564826,nm1563165
tt1447483,6.9,28,nm0280755,"nm0280755,nm2684668,nm2191088"
tt1456110,6.5,60,nm1037507,"nm3488471,nm1037507,nm0878095"
tt1460743,6.9,6990,"nm0000247,nm0989998",nm0989998
tt1465505,6.4,5273,nm0750121,nm0750121
tt1465519,4.7,1497,nm1141083,"nm0140109,nm1141083,nm0764704"
tt1467290,6.3,173,nm1768943,"nm3805595,nm1768943,nm0379864"
tt1468387,6.5,2306,nm0420817,"nm0465484,nm0621665,nm0813301"
tt1474456,3.2,103,nm3547625,"nm3548946,nm3547625"
tt1478277,2.6,102,nm0637297,"nm2315988,nm0441078,nm0637297"
tt1479320,5.6,143,nm0193010,"nm0193010,nm3545463,nm3587219"
tt1480670,5.2,303,nm2270632,nm2270632
tt1486670,4.7,3713,nm1266897,nm1266897
tt1488109,8.2,14,nm0734628,nm0734628
tt1492849,5.2,534,nm1587590,nm1587590
tt1499658,6.9,398695,nm1164861,"nm0002864,nm0197855,nm0326246"
tt1508689,4.7,16,nm0008409,nm0008409
tt1510989,3.9,83,nm2540112,"nm2540112,nm2286327"
tt1512098,5.9,33,"nm3617681,nm0476146",nm3617681
tt1512102,5.9,67,nm2527310,"nm3955616,nm3955657,nm2527310"
tt1512893,3.4,212,nm0084819,"nm0084819,nm1194312,nm1212019,nm0641045"
